Compound Id	WeightedPath [WTPT-3]
692	2.0
6153	9.0
127983	4.0
291	0.0
21106179	6.732
16425	16.899
23208	6.828
6105	4.414
11148	2.0
274	4.414
6086	0.0
9256	11.588
923	6.828
937	1.0
6085	0.0
217	1.0
9484	6.75
22814	1.0
22408	1.0
9286	9.301
12577	9.237
6084	0.0
6128	4.488
9243	2.207
62827	11.777
6132	6.732
391	1.0
38403	17.006
1087	6.828
16641	6.828
7954	0.0
864	2.0
11153	4.414
748	2.0
6095	0.0
6094	0.0
518	1.0
16841	11.588
6148	6.75
2056044	18.903
6151	9.0
6087	2.0
9095782	9.25
4514529	1.0
10675065	11.893
21106169	9.237
172	2.207
763	4.0
7956	2.414
7577	4.871
6089	2.0
6111	0.0
29040	11.588
10606755	16.427
6098	2.207
6120	0.0
13837650	4.621
13853215	13.875
61149	18.968
12197	0.0
682	2.207
61346	13.998
7558	0.0
7556	0.0
454215	11.588
7557	0.0
278	4.414
7957	0.0
654	2.414
9461	9.817
6130	6.732
7555	0.0
11727	4.871
1114	2.732
14441700	6.905
8960	4.0
6083	2.0
454209	4.604
56442	0.0
6101	2.207
6097	2.207
175	2.244
4449912	0.0
6102	2.207
9016	11.588
7559	2.311
2018165	6.955
7733	2.707
3644	2.244
6156	3.0
512	2.311
171	4.488
9646	0.0
9254	11.588
7734	5.070
9411	12.234
13835550	4.621
6135	7.220
13837190	5.268
10325078	13.875
7732	2.707
6335	4.9
7738	2.875
14829	6.75
4481813	4.871
10765	0.0
71390	6.732
6149	9.0
13872989	2.311
9391	9.260
6146	2.25
3631	17.006
6121	2.244
61213	6.936
3441	11.588
11099	0.0
11806	0.0
6308	0.0
3168	2.707
6104	4.414
1004	2.311
66567	16.344
1039	2.414
7713	0.0
73583	11.563
6103	2.207
7566	2.311
9994	2.75
10709	2.634
6309	0.0
6088	2.0
13299573	13.998
13836674	2.311
13835316	4.488
6092	2.207
14694	9.237
6313	2.329
11230	2.852
7564	2.311
7616	5.081
2062437	9.260
7712	0.0
4483639	0.0
10437	2.311
30713	9.301
2282428	11.588
6188	13.875
4483638	0.0
7330	0.0
12442	4.621
7546	2.706
9251	11.588
18971812	9.25
71433	3.104
10113	0.0
11755	5.105
7790	8.813
107412	11.777
56144	16.427
56020	0.0
13835977	2.311
