Compound Id	FragmentComplexity
6191	7.06
6153	4.04
16425	6.07
6190	7.06
11919	8.01
67991	8.05
291	0.0
6084	1.0
6094	2.0
7555	3.0
6120	3.0
7712	4.0
6308	4.0
9646	4.0
10781	7.0
15802	8.0
17976	8.0
7767	5.0
7604	5.0
7010	5.0
6163	5.0
6340	5.0
8560	6.0
11094	6.0
11023	6.0
11055	6.0
10786	6.0
7619	6.0
10755	6.0
11551	6.0
349	7.0
11035	7.0
11104	7.0
10795	7.0
10445	7.0
7849	8.0
17558	8.0
13439	8.0
13402	8.0
14840	9.0
13448	9.0
13619	10.0
7890	11.0
11882	12.0
11883	13.0
10540	15.0
7929	19.0
11897	20.0
11899	21.0
12017	22.0
12072	23.0
11900	24.0
11901	25.0
11146	26.0
11902	27.0
10542	31.0
11906	35.0
8878	22.0
11585	11.03
13837650	3.02
13853215	7.06
9392	7.06
7674	7.0
6156	4.01
18410	10.0
7024	6.0
15438	8.0
8896	5.0
14751	8.0
221117	44.0
7787	6.0
8908	7.0
8909	8.0
8910	10.0
6188	7.06
10265264	44.0
10179173	44.0
21800	44.0
10325078	7.06
6111	3.0
10265270	79.0
15765	44.0
10179239	79.0
69569	12.07
5730	4.04
13837281	5.04
9724	31.0
7662	9.03
13862559	9.03
7518	8.02
21106571	10.04
13864445	9.03
21106163	10.04
21106540	10.04
6339	5.04
38364	9.03
27488	9.03
11776	9.03
25677	49.04
158870	40.03
157093	40.03
83374	40.03
457144	40.03
135925	40.03
457145	40.03
84188	40.03
136000	40.03
135983	40.03
136001	40.03
136002	40.03
136003	40.03
84235	40.03
82755	43.04
82712	43.04
157094	43.04
103011	43.04
102798	43.04
82762	43.04
11974	10.04
56793	49.04
454495	49.04
40191	49.04
56791	49.04
35581	49.04
56774	52.05
82765	52.05
27793	43.04
82754	43.04
457138	43.04
102897	43.04
457139	43.04
102947	43.04
97173	43.04
102720	43.04
102801	43.04
102833	43.04
102721	43.04
102856	43.04
102933	43.04
103066	43.04
97172	43.04
106355	43.04
102741	46.05
97055	46.05
97198	46.05
34874	49.04
36972	49.04
56788	49.04
533188	49.04
35579	49.04
16182	49.04
46262	49.04
35580	49.04
82818	49.04
56790	49.04
56795	49.04
33458	49.04
82777	49.04
35584	49.04
56785	49.04
56792	49.04
34189	49.04
34859	55.06
84346	55.06
56760	55.06
56755	55.06
33666	55.06
36973	52.05
37744	52.05
46894	52.05
45444	52.05
56769	52.05
56780	52.05
34847	52.05
39406	52.05
35081	52.05
56781	52.05
56771	52.05
102834	46.05
102722	46.05
154865	46.05
96948	46.05
102743	46.05
102857	46.05
154866	46.05
106356	46.05
102787	46.05
97240	46.05
102742	46.05
97257	49.06
97224	49.06
102923	49.06
96868	49.06
96864	49.06
97234	49.06
97233	49.06
154062	49.06
97142	49.06
56782	58.07
36977	58.07
83414	58.07
84348	58.07
82823	58.07
36975	52.05
56778	52.05
43354	52.05
37779	52.05
45445	52.05
36974	52.05
35585	52.05
34848	52.05
84344	52.05
34850	52.05
82819	52.05
56772	52.05
82820	52.05
16415	52.05
56779	52.05
56768	52.05
56777	52.05
84345	52.05
34668	52.05
96965	52.07
33198	52.07
82783	55.06
34852	55.06
37000	55.06
37019	55.06
56765	55.06
39198	55.06
82740	55.06
56761	55.06
56756	55.06
56766	55.06
83413	55.06
34851	55.06
36976	55.06
56767	55.06
56763	55.06
56787	49.04
35583	49.04
82807	49.04
56794	49.04
33386	49.04
33457	49.04
47912	49.04
82817	49.04
46893	49.04
33280	49.04
35582	49.04
33304	49.04
46263	49.04
15827	55.08
33407	61.08
36985	61.08
35205	61.08
15637	61.08
82821	61.08
34853	55.06
37745	55.06
36978	55.06
34190	55.06
34191	55.06
36771	55.06
36710	55.06
56757	55.06
549017	55.06
84347	55.06
56764	55.06
56758	55.06
